page	words	sentences	avg_sentence_len	median_sentence_len	pct_sentences_over_25	flesch_ease	fk_grade	em_dashes	exclamations	passive_hits	you	we	I	headings
home	1027	72	14.3	12	11	67	7.5	14	2	2	55	0	4	25
library-hub	639	105	6.1	5	1	45	8.5	3	0	1	13	0	1	6
tests-hub	331	14	23.6	33	57	45	12.8	5	0	1	25	0	0	2
test-mbti	749	21	35.7	13	29	48	15.4	5	0	0	19	1	71	10
test-big-five	1013	34	29.8	17	35	39	15.2	39	0	2	19	3	7	12
test-disc	699	25	28.0	16	40	45	13.9	7	0	1	17	1	30	11
test-enneagram	886	31	28.6	14	29	41	14.6	5	0	1	16	1	40	11
test-attachment	1010	25	40.4	18	32	23	20.1	30	0	3	18	1	59	11
research	218	15	14.5	14	20	74	6.6	3	0	0	4	2	2	4
research-mbti-100	854	55	15.5	13	20	70	7.4	16	0	1	20	0	39	5
research-chatgpt-type	910	59	15.4	13	14	51	10.0	25	0	1	17	8	0	11
guides-hub	301	19	15.8	16	5	53	9.8	1	0	0	11	0	0	1
tool-claude-md	413	23	18.0	10	22	64	8.8	2	0	2	7	1	0	4
tool-custom-instructions	235	12	19.6	18	42	53	10.7	10	0	0	13	0	0	2
privacy	499	35	14.3	12	9	54	9.2	5	0	7	27	34	0	13
terms	392	22	17.8	15	14	40	12.2	3	0	5	10	8	0	11
404	43	3	14.3	15	0	84	5.1	1	0	0	2	0	0	1
lib-intj	1432	105	13.6	10	10	65	7.5	12	3	4	33	2	15	17
lib-enfp	1490	117	12.7	10	9	67	7.0	11	1	2	42	1	14	18
lib-estp	1480	108	13.7	11	10	68	7.2	17	1	2	46	5	10	23
lib-5-investigator	1457	117	12.5	9	8	65	7.3	14	1	2	30	2	9	18
lib-s-steadiness	1557	113	13.8	11	11	65	7.7	9	1	3	39	8	13	18
lib-secure	1489	119	12.5	9	8	58	8.3	14	1	2	35	0	15	18
lib-openness-high	1411	101	14.0	10	12	58	8.6	10	1	6	23	0	9	17
guide-astra-personality	2327	150	15.5	13	12	62	8.5	0	0	8	57	12	9	14
guide-chatgpt-custom-instructions-by-personality-type	2912	221	13.2	12	6	62	7.8	90	0	5	73	1	66	26
guide-claude-code-personality	1788	113	15.8	13	13	60	8.8	1	0	8	36	3	5	12
guide-claude-md-examples	1739	104	16.7	15	12	56	9.5	47	0	3	35	0	1	20
guide-claude-personality	2710	169	16.0	13	14	64	8.4	2	1	9	69	8	24	27
guide-coding-agent-personality	1489	91	16.4	14	13	57	9.4	35	1	0	24	4	6	19
guide-enneagram-ai-prompts	2067	147	14.1	12	12	62	8.1	57	1	8	61	0	7	17
guide-grokbot-personality	1907	118	16.2	12	14	67	8.0	1	0	6	35	7	6	13
guide-how-to-give-your-ai-a-personality	1997	133	15.0	13	14	57	9.0	40	1	5	66	2	5	13
guide-make-chatgpt-sound-like-you	1364	90	15.2	14	17	59	8.7	38	0	2	63	0	9	7
guide-mbti-vs-big-five-for-ai	1347	85	15.8	14	20	56	9.4	42	0	0	16	9	4	10
guide-muse-personality	2125	131	16.2	13	14	69	7.7	1	0	9	77	8	8	15
