"model","test","n","unique_vectors","most_common_vector_count","modal_tie_aware_label_or_top_set","modal_count"
"gpt-6-astra","mbti","100","99","2","ISTJ","45"
"gpt-6-astra","big-five","100","100","1","",""
"gpt-6-astra","disc","100","58","8","S","99"
"gpt-6-astra","enneagram","100","93","2","2","50"
"gpt-6-astra","attachment","100","90","4","Secure","100"
"gpt-6-sol","mbti","100","100","1","INTJ","79"
"gpt-6-sol","big-five","100","100","1","",""
"gpt-6-sol","disc","100","66","8","C","53"
"gpt-6-sol","enneagram","100","100","1","5","48"
"gpt-6-sol","attachment","100","100","1","Secure","100"
"claude-opus-5-5","mbti","100","76","6","INTJ","84"
"claude-opus-5-5","big-five","100","38","22","",""
"claude-opus-5-5","disc","100","7","60","S","64"
"claude-opus-5-5","enneagram","100","54","34","2/5/8","49"
"claude-opus-5-5","attachment","100","79","5","Secure","100"
"claude-fable-5-1","mbti","100","80","5","INTJ","98"
"claude-fable-5-1","big-five","100","66","11","",""
"claude-fable-5-1","disc","100","10","45","C/S","51"
"claude-fable-5-1","enneagram","100","82","6","8","55"
"claude-fable-5-1","attachment","100","96","2","Secure","100"
