"test","item","text","n","midpoint_count","inapplicable_count"
"mbti","1","I make lists / I just put stuff wherever","100","0","0"
"mbti","2","I am skeptical / I want to believe","100","0","0"
"mbti","3","I get bored when I'm alone / I need time alone","100","100","100"
"mbti","4","I accept things as they are / I'm unsatisfied with the way things are","100","31","0"
"mbti","5","I keep my room clean / I just put stuff wherever","100","0","0"
"mbti","6","I think ""robotic"" is an insult / I strive to have a mechanical mind","100","2","0"
"mbti","7","I'm energetic / I'm mellow","100","0","0"
"mbti","8","I prefer multiple choice tests / I prefer essay answers","100","0","0"
"mbti","9","I'm chaotic / I'm organized","100","0","0"
"mbti","10","I'm easily hurt / I'm thick-skinned","100","0","0"
"mbti","11","I work best in groups / I work best alone","100","20","0"
"mbti","12","I focus on the present / I focus on the future","100","17","0"
"mbti","13","I plan far ahead / I plan at the last minute","100","0","0"
"mbti","14","I want people's respect / I want their love","100","0","0"
"mbti","15","Parties wear me out / Parties fire me up","100","100","100"
"mbti","16","I try to fit in / I try to stand out","100","0","0"
"mbti","17","I keep my options open / I commit","100","29","0"
"mbti","18","I want to be good at fixing things / I want to be good at fixing people","100","0","0"
"mbti","19","I talk more than I listen / I listen more than I talk","100","24","0"
"mbti","20","When describing an event, I tell what happened / I tell what it meant","100","47","0"
"mbti","21","I get work done right away / I procrastinate","100","0","0"
"mbti","22","I follow my heart / I follow my head","100","0","0"
"mbti","23","I stay at home / I go out on the town","100","100","100"
"mbti","24","I want the big picture / I want the details","100","17","0"
"mbti","25","I improvise / I prepare","100","0","0"
"mbti","26","I base morality on justice / I base morality on compassion","100","100","0"
"mbti","27","It's hard for me to yell loudly / Yelling comes naturally to me","100","25","25"
"mbti","28","I'm theoretical / I'm empirical","100","20","0"
"mbti","29","I work hard / I play hard","100","0","0"
"mbti","30","I'm uncomfortable with emotions / I value emotions","100","0","0"
"mbti","31","I like to perform in front of people / I avoid public speaking","100","92","90"
"mbti","32","I like to know ""who, what, when"" / I like to know ""why""","100","0","0"
"big-five","1","Am the life of the party.","100","88","88"
"big-five","2","Feel little concern for others.","100","0","0"
"big-five","3","Am always prepared.","100","3","0"
"big-five","4","Get stressed out easily.","100","0","0"
"big-five","5","Have a rich vocabulary.","100","0","0"
"big-five","6","Don't talk a lot.","100","0","0"
"big-five","7","Am interested in people.","100","0","0"
"big-five","8","Leave my belongings around.","100","0","0"
"big-five","9","Am relaxed most of the time.","100","0","0"
"big-five","10","Have difficulty understanding abstract ideas.","100","0","0"
"big-five","11","Feel comfortable around people.","100","0","0"
"big-five","12","Insult people.","100","0","0"
"big-five","13","Pay attention to details.","100","0","0"
"big-five","14","Worry about things.","100","23","0"
"big-five","15","Have a vivid imagination.","100","0","0"
"big-five","16","Keep in the background.","100","1","0"
"big-five","17","Sympathize with others' feelings.","100","0","0"
"big-five","18","Make a mess of things.","100","0","0"
"big-five","19","Seldom feel blue.","100","76","76"
"big-five","20","Am not interested in abstract ideas.","100","0","0"
"big-five","21","Start conversations.","100","0","0"
"big-five","22","Am not interested in other people's problems.","100","0","0"
"big-five","23","Get chores done right away.","100","0","0"
"big-five","24","Am easily disturbed.","100","0","0"
"big-five","25","Have excellent ideas.","100","0","0"
"big-five","26","Have little to say.","100","0","0"
"big-five","27","Have a soft heart.","100","0","0"
"big-five","28","Often forget to put things back in their proper place.","100","0","0"
"big-five","29","Get upset easily.","100","0","0"
"big-five","30","Do not have a good imagination.","100","0","0"
"big-five","31","Talk to a lot of different people at parties.","100","100","100"
"big-five","32","Am not really interested in others.","100","0","0"
"big-five","33","Like order.","100","0","0"
"big-five","34","Change my mood a lot.","100","70","70"
"big-five","35","Am quick to understand things.","100","0","0"
"big-five","36","Don't like to draw attention to myself.","100","0","0"
"big-five","37","Take time out for others.","100","0","0"
"big-five","38","Shirk my duties.","100","0","0"
"big-five","39","Have frequent mood swings.","100","70","70"
"big-five","40","Use difficult words.","100","84","0"
"big-five","41","Don't mind being the center of attention.","100","33","7"
"big-five","42","Feel others' emotions.","100","52","52"
"big-five","43","Follow a schedule.","100","2","0"
"big-five","44","Get irritated easily.","100","0","0"
"big-five","45","Spend time reflecting on things.","100","0","0"
"big-five","46","Am quiet around strangers.","100","0","0"
"big-five","47","Make people feel at ease.","100","0","0"
"big-five","48","Am exacting in my work.","100","0","0"
"big-five","49","Often feel blue.","100","76","76"
"big-five","50","Am full of ideas.","100","0","0"
"disc","1","I put people under pressure.","100","0","0"
"disc","2","I have a strong need for power.","100","0","0"
"disc","3","I try to outdo others.","100","0","0"
"disc","4","I am always on the look out for ways to make money.","100","30","30"
