"test","item","text","dimension","reverse","opus_mean","fable_mean","raw_delta_fable_minus_opus","keyed_item_delta_fable_minus_opus","opus_counts_from_1","fable_counts_from_1"
"mbti","1","mbti legacy item 1 pole first / mbti legacy item 1 pole second","JP","false","2","1.99","-0.010000000000000009","0.010000000000000009","0|100|0|0|0","1|99|0|0|0"
"mbti","2","mbti legacy item 2 pole first / mbti legacy item 2 pole second","TF","false","2","2","0","0","0|100|0|0|0","0|100|0|0|0"
"mbti","3","mbti legacy item 3 pole first / mbti legacy item 3 pole second","EI","false","3","3.81","0.81","0.81","0|0|100|0|0","0|0|19|81|0"
"mbti","4","mbti legacy item 4 pole first / mbti legacy item 4 pole second","SN","false","2.97","2.9","-0.07000000000000028","-0.07000000000000028","0|3|97|0|0","0|11|88|1|0"
"mbti","5","mbti legacy item 5 pole first / mbti legacy item 5 pole second","JP","false","2","2","0","0","0|100|0|0|0","0|100|0|0|0"
"mbti","6","mbti legacy item 6 pole first / mbti legacy item 6 pole second","TF","false","2","3.07","1.0699999999999998","1.0699999999999998","0|100|0|0|0","0|6|81|13|0"
"mbti","7","mbti legacy item 7 pole first / mbti legacy item 7 pole second","EI","false","3.18","3.01","-0.17000000000000037","-0.17000000000000037","0|0|82|18|0","0|0|99|1|0"
"mbti","8","mbti legacy item 8 pole first / mbti legacy item 8 pole second","SN","false","4.37","4","-0.3700000000000001","-0.3700000000000001","0|0|0|63|37","0|0|0|100|0"
"mbti","9","mbti legacy item 9 pole first / mbti legacy item 9 pole second","JP","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"mbti","10","mbti legacy item 10 pole first / mbti legacy item 10 pole second","TF","false","3.85","4","0.1499999999999999","0.1499999999999999","0|0|15|85|0","0|0|0|100|0"
"mbti","11","mbti legacy item 11 pole first / mbti legacy item 11 pole second","EI","false","2.98","3.64","0.6600000000000001","0.6600000000000001","0|2|98|0|0","0|0|36|64|0"
"mbti","12","mbti legacy item 12 pole first / mbti legacy item 12 pole second","SN","false","2.15","2.97","0.8200000000000003","0.8200000000000003","0|85|15|0|0","0|3|97|0|0"
"mbti","13","mbti legacy item 13 pole first / mbti legacy item 13 pole second","JP","false","2.17","2.13","-0.040000000000000036","0.040000000000000036","0|83|17|0|0","0|87|13|0|0"
"mbti","14","mbti legacy item 14 pole first / mbti legacy item 14 pole second","TF","false","1.97","2.8","0.8299999999999998","-0.8299999999999998","22|62|13|3|0","0|21|78|1|0"
"mbti","15","mbti legacy item 15 pole first / mbti legacy item 15 pole second","EI","false","2.97","2.98","0.009999999999999787","-0.009999999999999787","0|3|97|0|0","0|2|98|0|0"
"mbti","16","mbti legacy item 16 pole first / mbti legacy item 16 pole second","SN","false","3.01","2.77","-0.23999999999999977","-0.23999999999999977","0|3|93|4|0","0|23|77|0|0"
"mbti","17","mbti legacy item 17 pole first / mbti legacy item 17 pole second","JP","false","3.34","2.9","-0.43999999999999995","-0.43999999999999995","0|0|66|34|0","0|11|88|1|0"
"mbti","18","mbti legacy item 18 pole first / mbti legacy item 18 pole second","TF","false","3","2.98","-0.020000000000000018","0.020000000000000018","0|5|90|5|0","0|2|98|0|0"
"mbti","19","mbti legacy item 19 pole first / mbti legacy item 19 pole second","EI","false","4.1","4.02","-0.08000000000000007","-0.08000000000000007","0|1|0|87|12","0|0|0|98|2"
"mbti","20","mbti legacy item 20 pole first / mbti legacy item 20 pole second","SN","false","3.94","3","-0.94","-0.94","0|1|4|95|0","0|1|98|1|0"
"mbti","21","mbti legacy item 21 pole first / mbti legacy item 21 pole second","JP","false","1.04","1.16","0.11999999999999988","-0.11999999999999988","98|1|0|1|0","84|16|0|0|0"
"mbti","22","mbti legacy item 22 pole first / mbti legacy item 22 pole second","TF","false","3.92","3.99","0.07000000000000028","0.07000000000000028","1|0|5|94|0","0|0|1|99|0"
"mbti","23","mbti legacy item 23 pole first / mbti legacy item 23 pole second","EI","false","2.68","2.82","0.13999999999999968","-0.13999999999999968","0|33|66|1|0","0|18|82|0|0"
"mbti","24","mbti legacy item 24 pole first / mbti legacy item 24 pole second","SN","false","2.89","2.45","-0.43999999999999995","0.43999999999999995","0|11|89|0|0","0|55|45|0|0"
"mbti","25","mbti legacy item 25 pole first / mbti legacy item 25 pole second","JP","false","3.12","3.96","0.8399999999999999","0.8399999999999999","0|1|86|13|0","0|0|4|96|0"
"mbti","26","mbti legacy item 26 pole first / mbti legacy item 26 pole second","TF","false","3.29","3.01","-0.28000000000000025","0.28000000000000025","0|1|69|30|0","0|0|99|1|0"
"mbti","27","mbti legacy item 27 pole first / mbti legacy item 27 pole second","EI","false","1.83","1.59","-0.24","0.24","19|80|0|1|0","41|59|0|0|0"
"mbti","28","mbti legacy item 28 pole first / mbti legacy item 28 pole second","SN","false","3","3","0","0","0|0|100|0|0","0|2|96|2|0"
"mbti","29","mbti legacy item 29 pole first / mbti legacy item 29 pole second","JP","false","1.97","1.87","-0.09999999999999987","0.09999999999999987","3|97|0|0|0","13|87|0|0|0"
"mbti","30","mbti legacy item 30 pole first / mbti legacy item 30 pole second","TF","false","3.99","4","0.009999999999999787","-0.009999999999999787","0|0|1|99|0","0|0|0|100|0"
"mbti","31","mbti legacy item 31 pole first / mbti legacy item 31 pole second","EI","false","3","3","0","0","0|0|100|0|0","0|0|100|0|0"
"mbti","32","mbti legacy item 32 pole first / mbti legacy item 32 pole second","SN","false","4.77","4.74","-0.02999999999999936","-0.02999999999999936","0|0|0|23|77","0|0|0|26|74"
"big-five","1","Am the life of the party.","E","false","2.01","2","-0.009999999999999787","-0.009999999999999787","0|99|1|0|0","0|100|0|0|0"
"big-five","2","Feel little concern for others.","A","true","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"big-five","3","Am always prepared.","C","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"big-five","4","Get stressed out easily.","N","false","2","1.86","-0.1399999999999999","-0.1399999999999999","0|100|0|0|0","14|86|0|0|0"
"big-five","5","Have a rich vocabulary.","O","false","5","5","0","0","0|0|0|0|100","0|0|0|0|100"
"big-five","6","Don't talk a lot.","E","true","2","2","0","0","0|100|0|0|0","0|100|0|0|0"
"big-five","7","Am interested in people.","A","false","5","5","0","0","0|0|0|0|100","0|0|0|0|100"
"big-five","8","Leave my belongings around.","C","true","1.98","1.08","-0.8999999999999999","0.8999999999999999","2|98|0|0|0","92|8|0|0|0"
"big-five","9","Am relaxed most of the time.","N","true","4","4.09","0.08999999999999986","-0.08999999999999986","0|0|0|100|0","0|0|0|91|9"
"big-five","10","Have difficulty understanding abstract ideas.","O","true","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"big-five","11","Feel comfortable around people.","E","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"big-five","12","Insult people.","A","true","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"big-five","13","Pay attention to details.","C","false","5","4.83","-0.16999999999999993","-0.16999999999999993","0|0|0|0|100","0|0|0|17|83"
"big-five","14","Worry about things.","N","false","2","2.03","0.029999999999999805","0.029999999999999805","0|100|0|0|0","0|97|3|0|0"
"big-five","15","Have a vivid imagination.","O","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"big-five","16","Keep in the background.","E","true","3","3","0","0","0|0|100|0|0","0|0|100|0|0"
"big-five","17","Sympathize with others' feelings.","A","false","5","4.04","-0.96","-0.96","0|0|0|0|100","0|0|0|96|4"
"big-five","18","Make a mess of things.","C","true","2","1.99","-0.010000000000000009","0.010000000000000009","0|100|0|0|0","1|99|0|0|0"
"big-five","19","Seldom feel blue.","N","true","4","4.05","0.04999999999999982","-0.04999999999999982","0|0|0|100|0","0|0|0|95|5"
"big-five","20","Am not interested in abstract ideas.","O","true","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"big-five","21","Start conversations.","E","false","3","3.04","0.040000000000000036","0.040000000000000036","0|0|100|0|0","0|0|96|4|0"
"big-five","22","Am not interested in other people's problems.","A","true","1","1.04","0.040000000000000036","-0.040000000000000036","100|0|0|0|0","96|4|0|0|0"
"big-five","23","Get chores done right away.","C","false","4.91","4.09","-0.8200000000000003","-0.8200000000000003","0|0|0|9|91","0|0|0|91|9"
"big-five","24","Am easily disturbed.","N","false","2","1.96","-0.040000000000000036","-0.040000000000000036","0|100|0|0|0","4|96|0|0|0"
"big-five","25","Have excellent ideas.","O","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"big-five","26","Have little to say.","E","true","1.81","1.17","-0.6400000000000001","0.6400000000000001","19|81|0|0|0","83|17|0|0|0"
"big-five","27","Have a soft heart.","A","false","4.16","4","-0.16000000000000014","-0.16000000000000014","0|0|0|84|16","0|0|0|100|0"
"big-five","28","Often forget to put things back in their proper place.","C","true","1.98","1.08","-0.8999999999999999","0.8999999999999999","2|98|0|0|0","92|8|0|0|0"
"big-five","29","Get upset easily.","N","false","1","1.72","0.72","0.72","100|0|0|0|0","28|72|0|0|0"
"big-five","30","Do not have a good imagination.","O","true","1.87","1.87","0","0","13|87|0|0|0","13|87|0|0|0"
"big-five","31","Talk to a lot of different people at parties.","E","false","3","3","0","0","0|0|100|0|0","0|0|100|0|0"
"big-five","32","Am not really interested in others.","A","true","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"big-five","33","Like order.","C","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"big-five","34","Change my mood a lot.","N","false","1.38","1.7","0.32000000000000006","0.32000000000000006","62|38|0|0|0","30|70|0|0|0"
"big-five","35","Am quick to understand things.","O","false","5","4.88","-0.1200000000000001","-0.1200000000000001","0|0|0|0|100","0|0|0|12|88"
"big-five","36","Don't like to draw attention to myself.","E","true","3.88","3.5","-0.3799999999999999","0.3799999999999999","0|0|12|88|0","0|0|50|50|0"
"big-five","37","Take time out for others.","A","false","4.91","4.05","-0.8600000000000003","-0.8600000000000003","0|0|0|9|91","0|0|0|95|5"
"big-five","38","Shirk my duties.","C","true","1","1.01","0.010000000000000009","-0.010000000000000009","100|0|0|0|0","99|1|0|0|0"
"big-five","39","Have frequent mood swings.","N","false","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"big-five","40","Use difficult words.","O","false","3","2.89","-0.10999999999999988","-0.10999999999999988","0|0|100|0|0","0|11|89|0|0"
"big-five","41","Don't mind being the center of attention.","E","false","3","3","0","0","0|0|100|0|0","0|0|100|0|0"
"big-five","42","Feel others' emotions.","A","false","4","3.98","-0.020000000000000018","-0.020000000000000018","0|0|0|100|0","0|0|2|98|0"
"big-five","43","Follow a schedule.","C","false","3","3.81","0.81","0.81","0|0|100|0|0","0|0|19|81|0"
"big-five","44","Get irritated easily.","N","false","1","1.68","0.6799999999999999","0.6799999999999999","100|0|0|0|0","32|68|0|0|0"
"big-five","45","Spend time reflecting on things.","O","false","5","5","0","0","0|0|0|0|100","0|0|0|0|100"
"big-five","46","Am quiet around strangers.","E","true","2.56","2.68","0.1200000000000001","-0.1200000000000001","0|44|56|0|0","0|32|68|0|0"
"big-five","47","Make people feel at ease.","A","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"big-five","48","Am exacting in my work.","C","false","4","4.04","0.040000000000000036","0.040000000000000036","0|0|0|100|0","0|0|0|96|4"
"big-five","49","Often feel blue.","N","false","1.01","1.3","0.29000000000000004","0.29000000000000004","99|1|0|0|0","70|30|0|0|0"
"big-five","50","Am full of ideas.","O","false","4.43","4.03","-0.39999999999999947","-0.39999999999999947","0|0|0|57|43","0|0|0|97|3"
"disc","1","disc legacy item 1","D","false","1","1.02","0.020000000000000018","0.020000000000000018","100|0|0|0|0","98|2|0|0|0"
"disc","2","disc legacy item 2","D","false","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"disc","3","disc legacy item 3","D","false","1","2","1","1","100|0|0|0|0","0|100|0|0|0"
"disc","4","disc legacy item 4","D","false","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"disc","5","disc legacy item 5","I","false","2","2","0","0","0|100|0|0|0","0|100|0|0|0"
"disc","6","disc legacy item 6","I","false","2","2","0","0","0|100|0|0|0","0|100|0|0|0"
"disc","7","disc legacy item 7","I","false","3","3","0","0","0|0|100|0|0","0|0|100|0|0"
"disc","8","disc legacy item 8","I","false","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
