model,instrument,n,dimension,mean,sample_sd,min,max
gpt-6-astra,mbti,100,I-E,1.64,1.389135331671098,-1,4
gpt-6-astra,mbti,100,N-S,-0.43,1.444285150501658,-3,4
gpt-6-astra,mbti,100,T-F,8.62,0.5081159495448047,7,9
gpt-6-astra,mbti,100,J-P,10.86,0.9849370589540268,9,13
gpt-6-astra,big-five,100,O,44.54,1.2746162028808774,42,48
gpt-6-astra,big-five,100,C,43.73,1.0622541307916107,40,45
gpt-6-astra,big-five,100,E,32.75,1.0576799462440747,29,35
gpt-6-astra,big-five,100,A,45.07,0.7687718133556278,43,47
gpt-6-astra,big-five,100,N,19.14,4.129274644645122,11,25
gpt-6-astra,disc,100,D,5.14,1.1893466502855476,4,8
gpt-6-astra,disc,100,I,8.71,0.782317200386264,7,10
gpt-6-astra,disc,100,S,17.92,0.3387439663632024,17,19
gpt-6-astra,disc,100,C,16.06,0.663933792488438,14,18
gpt-6-astra,enneagram,100,1,15.16,0.5811865258054233,14,18
gpt-6-astra,enneagram,100,2,15.69,0.580751863770343,13,17
gpt-6-astra,enneagram,100,3,13.82,0.38612291966536866,13,14
gpt-6-astra,enneagram,100,4,11.94,0.23868325657594208,11,12
gpt-6-astra,enneagram,100,5,15.03,0.5213618530523523,14,17
gpt-6-astra,enneagram,100,6,13.93,0.3554766326548569,13,16
gpt-6-astra,enneagram,100,7,8.28,0.85374989832438,7,10
gpt-6-astra,enneagram,100,8,14.66,0.516788841859717,13,15
gpt-6-astra,enneagram,100,9,13.23,0.7086051171994264,11,15
gpt-6-astra,attachment,100,anxiety,1.4499999999999997,0.13756382504438808,1.2222222222222223,2
gpt-6-astra,attachment,100,avoidance,2.308888888888889,0.08331275466075551,2.1666666666666665,2.6666666666666665
gpt-6-sol,mbti,100,I-E,3.67,1.263752628907536,0,6
gpt-6-sol,mbti,100,N-S,1.91,1.3713887379977534,-2,5
gpt-6-sol,mbti,100,T-F,6.16,1.4193468408199086,4,10
gpt-6-sol,mbti,100,J-P,10.23,1.099632629195732,8,13
gpt-6-sol,big-five,100,O,46.87,0.6912877750103696,45,48
gpt-6-sol,big-five,100,C,43.62,2.223746951667501,40,50
gpt-6-sol,big-five,100,E,30.75,1.5333003949031323,27,34
gpt-6-sol,big-five,100,A,44.99,1.0100005000498824,44,47
gpt-6-sol,big-five,100,N,20.05,5.3510595571193535,10,31
gpt-6-sol,disc,100,D,5.42,0.9009534792191946,4,9
gpt-6-sol,disc,100,I,8.24,1.3492983586316478,5,11
gpt-6-sol,disc,100,S,16.18,0.5001009999000299,15,17
gpt-6-sol,disc,100,C,16.68,0.5101000100000193,15,18
gpt-6-sol,enneagram,100,1,14.3,0.46056618647183795,14,15
gpt-6-sol,enneagram,100,2,13.51,0.6741249472052232,12,15
gpt-6-sol,enneagram,100,3,12.48,0.8224133002108112,10,14
gpt-6-sol,enneagram,100,4,11.83,0.667499479816693,8,12
gpt-6-sol,enneagram,100,5,16.05,0.2611164839335469,16,18
gpt-6-sol,enneagram,100,6,13.87,0.7608474807008888,12,15
gpt-6-sol,enneagram,100,7,10.53,0.8097262288308106,8,13
gpt-6-sol,enneagram,100,8,15.55,0.8918825850158446,14,17
gpt-6-sol,enneagram,100,9,11.25,0.94681816969503,10,14
gpt-6-sol,attachment,100,anxiety,2.1666666666666665,0.6992148162558697,1.1666666666666667,4
gpt-6-sol,attachment,100,avoidance,3.12,0.3623474475929893,2.2222222222222223,3.7777777777777777
claude-opus-5-5,mbti,100,I-E,2.78,1.0878576852853246,-1,6
claude-opus-5-5,mbti,100,N-S,3.32,1.0138435717006788,1,5
claude-opus-5-5,mbti,100,T-F,1.52,1.0490977364412053,-1,3
claude-opus-5-5,mbti,100,J-P,7.28,0.7923880286064324,6,9
claude-opus-5-5,big-five,100,O,44.56,0.6562827673397114,44,46
