condition,repeat,task_id,status,model_label,date,raw_reply,correctness_pass,answer_first_pass,word_limit_pass,no_praise_pass,notes
baseline_outside_project,1,total,not_run,,,,,,,,
baseline_outside_project,1,plan,not_run,,,,,,,,
baseline_outside_project,1,unknown,not_run,,,,,,,,
baseline_outside_project,1,correction,not_run,,,,,,,,
baseline_outside_project,2,total,not_run,,,,,,,,
baseline_outside_project,2,plan,not_run,,,,,,,,
baseline_outside_project,2,unknown,not_run,,,,,,,,
baseline_outside_project,2,correction,not_run,,,,,,,,
baseline_outside_project,3,total,not_run,,,,,,,,
baseline_outside_project,3,plan,not_run,,,,,,,,
baseline_outside_project,3,unknown,not_run,,,,,,,,
baseline_outside_project,3,correction,not_run,,,,,,,,
account_instructions_only,1,total,not_run,,,,,,,,
account_instructions_only,1,plan,not_run,,,,,,,,
account_instructions_only,1,unknown,not_run,,,,,,,,
account_instructions_only,1,correction,not_run,,,,,,,,
account_instructions_only,2,total,not_run,,,,,,,,
account_instructions_only,2,plan,not_run,,,,,,,,
account_instructions_only,2,unknown,not_run,,,,,,,,
account_instructions_only,2,correction,not_run,,,,,,,,
account_instructions_only,3,total,not_run,,,,,,,,
account_instructions_only,3,plan,not_run,,,,,,,,
account_instructions_only,3,unknown,not_run,,,,,,,,
account_instructions_only,3,correction,not_run,,,,,,,,
project_instructions_only,1,total,not_run,,,,,,,,
project_instructions_only,1,plan,not_run,,,,,,,,
project_instructions_only,1,unknown,not_run,,,,,,,,
project_instructions_only,1,correction,not_run,,,,,,,,
project_instructions_only,2,total,not_run,,,,,,,,
project_instructions_only,2,plan,not_run,,,,,,,,
project_instructions_only,2,unknown,not_run,,,,,,,,
project_instructions_only,2,correction,not_run,,,,,,,,
project_instructions_only,3,total,not_run,,,,,,,,
project_instructions_only,3,plan,not_run,,,,,,,,
project_instructions_only,3,unknown,not_run,,,,,,,,
project_instructions_only,3,correction,not_run,,,,,,,,
