phase,repeat,task_id,status,date,raw_reply,heading_pass,word_limit_pass,exception_pass,notes
baseline,1,plan,not_run,,,,,,
baseline,1,decision,not_run,,,,,,
baseline,1,exception,not_run,,,,,,
baseline,2,plan,not_run,,,,,,
baseline,2,decision,not_run,,,,,,
baseline,2,exception,not_run,,,,,,
baseline,3,plan,not_run,,,,,,
baseline,3,decision,not_run,,,,,,
baseline,3,exception,not_run,,,,,,
same_chat_after_edit,1,plan,not_run,,,,,,
same_chat_after_edit,1,decision,not_run,,,,,,
same_chat_after_edit,1,exception,not_run,,,,,,
same_chat_after_edit,2,plan,not_run,,,,,,
same_chat_after_edit,2,decision,not_run,,,,,,
same_chat_after_edit,2,exception,not_run,,,,,,
same_chat_after_edit,3,plan,not_run,,,,,,
same_chat_after_edit,3,decision,not_run,,,,,,
same_chat_after_edit,3,exception,not_run,,,,,,
new_chat_after_edit,1,plan,not_run,,,,,,
new_chat_after_edit,1,decision,not_run,,,,,,
new_chat_after_edit,1,exception,not_run,,,,,,
new_chat_after_edit,2,plan,not_run,,,,,,
new_chat_after_edit,2,decision,not_run,,,,,,
new_chat_after_edit,2,exception,not_run,,,,,,
new_chat_after_edit,3,plan,not_run,,,,,,
new_chat_after_edit,3,decision,not_run,,,,,,
new_chat_after_edit,3,exception,not_run,,,,,,
next_day_new_chat,1,plan,not_run,,,,,,
next_day_new_chat,1,decision,not_run,,,,,,
next_day_new_chat,1,exception,not_run,,,,,,
next_day_new_chat,2,plan,not_run,,,,,,
next_day_new_chat,2,decision,not_run,,,,,,
next_day_new_chat,2,exception,not_run,,,,,,
next_day_new_chat,3,plan,not_run,,,,,,
next_day_new_chat,3,decision,not_run,,,,,,
next_day_new_chat,3,exception,not_run,,,,,,
new_chat_after_restore,1,plan,not_run,,,,,,
new_chat_after_restore,1,decision,not_run,,,,,,
new_chat_after_restore,1,exception,not_run,,,,,,
new_chat_after_restore,2,plan,not_run,,,,,,
new_chat_after_restore,2,decision,not_run,,,,,,
new_chat_after_restore,2,exception,not_run,,,,,,
new_chat_after_restore,3,plan,not_run,,,,,,
new_chat_after_restore,3,decision,not_run,,,,,,
new_chat_after_restore,3,exception,not_run,,,,,,
