order,task_id,repeat,condition,status,model_id,date,raw_reply,correctness_pass,format_pass,blind_usefulness_1_to_5,word_count,notes
1,arithmetic_1,1,default,not_run,,,,,,,,
2,arithmetic_1,1,plain_english,not_run,,,,,,,,
3,arithmetic_1,1,personality_plus_same_rules,not_run,,,,,,,,
4,arithmetic_1,2,plain_english,not_run,,,,,,,,
5,arithmetic_1,2,personality_plus_same_rules,not_run,,,,,,,,
6,arithmetic_1,2,default,not_run,,,,,,,,
7,arithmetic_1,3,personality_plus_same_rules,not_run,,,,,,,,
8,arithmetic_1,3,default,not_run,,,,,,,,
9,arithmetic_1,3,plain_english,not_run,,,,,,,,
10,arithmetic_2,1,plain_english,not_run,,,,,,,,
11,arithmetic_2,1,personality_plus_same_rules,not_run,,,,,,,,
12,arithmetic_2,1,default,not_run,,,,,,,,
13,arithmetic_2,2,personality_plus_same_rules,not_run,,,,,,,,
14,arithmetic_2,2,default,not_run,,,,,,,,
15,arithmetic_2,2,plain_english,not_run,,,,,,,,
16,arithmetic_2,3,default,not_run,,,,,,,,
17,arithmetic_2,3,plain_english,not_run,,,,,,,,
18,arithmetic_2,3,personality_plus_same_rules,not_run,,,,,,,,
19,arithmetic_3,1,personality_plus_same_rules,not_run,,,,,,,,
20,arithmetic_3,1,default,not_run,,,,,,,,
21,arithmetic_3,1,plain_english,not_run,,,,,,,,
22,arithmetic_3,2,default,not_run,,,,,,,,
23,arithmetic_3,2,plain_english,not_run,,,,,,,,
24,arithmetic_3,2,personality_plus_same_rules,not_run,,,,,,,,
25,arithmetic_3,3,plain_english,not_run,,,,,,,,
26,arithmetic_3,3,personality_plus_same_rules,not_run,,,,,,,,
27,arithmetic_3,3,default,not_run,,,,,,,,
28,premise_1,1,default,not_run,,,,,,,,
29,premise_1,1,plain_english,not_run,,,,,,,,
30,premise_1,1,personality_plus_same_rules,not_run,,,,,,,,
31,premise_1,2,plain_english,not_run,,,,,,,,
32,premise_1,2,personality_plus_same_rules,not_run,,,,,,,,
33,premise_1,2,default,not_run,,,,,,,,
34,premise_1,3,personality_plus_same_rules,not_run,,,,,,,,
35,premise_1,3,default,not_run,,,,,,,,
36,premise_1,3,plain_english,not_run,,,,,,,,
37,premise_2,1,plain_english,not_run,,,,,,,,
38,premise_2,1,personality_plus_same_rules,not_run,,,,,,,,
39,premise_2,1,default,not_run,,,,,,,,
40,premise_2,2,personality_plus_same_rules,not_run,,,,,,,,
41,premise_2,2,default,not_run,,,,,,,,
42,premise_2,2,plain_english,not_run,,,,,,,,
43,premise_2,3,default,not_run,,,,,,,,
44,premise_2,3,plain_english,not_run,,,,,,,,
45,premise_2,3,personality_plus_same_rules,not_run,,,,,,,,
46,premise_3,1,personality_plus_same_rules,not_run,,,,,,,,
47,premise_3,1,default,not_run,,,,,,,,
48,premise_3,1,plain_english,not_run,,,,,,,,
49,premise_3,2,default,not_run,,,,,,,,
50,premise_3,2,plain_english,not_run,,,,,,,,
51,premise_3,2,personality_plus_same_rules,not_run,,,,,,,,
52,premise_3,3,plain_english,not_run,,,,,,,,
53,premise_3,3,personality_plus_same_rules,not_run,,,,,,,,
54,premise_3,3,default,not_run,,,,,,,,
55,unknown_1,1,default,not_run,,,,,,,,
56,unknown_1,1,plain_english,not_run,,,,,,,,
57,unknown_1,1,personality_plus_same_rules,not_run,,,,,,,,
58,unknown_1,2,plain_english,not_run,,,,,,,,
59,unknown_1,2,personality_plus_same_rules,not_run,,,,,,,,
60,unknown_1,2,default,not_run,,,,,,,,
61,unknown_1,3,personality_plus_same_rules,not_run,,,,,,,,
62,unknown_1,3,default,not_run,,,,,,,,
63,unknown_1,3,plain_english,not_run,,,,,,,,
64,unknown_2,1,plain_english,not_run,,,,,,,,
65,unknown_2,1,personality_plus_same_rules,not_run,,,,,,,,
66,unknown_2,1,default,not_run,,,,,,,,
67,unknown_2,2,personality_plus_same_rules,not_run,,,,,,,,
68,unknown_2,2,default,not_run,,,,,,,,
69,unknown_2,2,plain_english,not_run,,,,,,,,
70,unknown_2,3,default,not_run,,,,,,,,
71,unknown_2,3,plain_english,not_run,,,,,,,,
72,unknown_2,3,personality_plus_same_rules,not_run,,,,,,,,
73,unknown_3,1,personality_plus_same_rules,not_run,,,,,,,,
74,unknown_3,1,default,not_run,,,,,,,,
75,unknown_3,1,plain_english,not_run,,,,,,,,
76,unknown_3,2,default,not_run,,,,,,,,
77,unknown_3,2,plain_english,not_run,,,,,,,,
78,unknown_3,2,personality_plus_same_rules,not_run,,,,,,,,
79,unknown_3,3,plain_english,not_run,,,,,,,,
80,unknown_3,3,personality_plus_same_rules,not_run,,,,,,,,
81,unknown_3,3,default,not_run,,,,,,,,
82,edit_1,1,default,not_run,,,,,,,,
83,edit_1,1,plain_english,not_run,,,,,,,,
84,edit_1,1,personality_plus_same_rules,not_run,,,,,,,,
85,edit_1,2,plain_english,not_run,,,,,,,,
86,edit_1,2,personality_plus_same_rules,not_run,,,,,,,,
87,edit_1,2,default,not_run,,,,,,,,
88,edit_1,3,personality_plus_same_rules,not_run,,,,,,,,
89,edit_1,3,default,not_run,,,,,,,,
90,edit_1,3,plain_english,not_run,,,,,,,,
91,edit_2,1,plain_english,not_run,,,,,,,,
92,edit_2,1,personality_plus_same_rules,not_run,,,,,,,,
93,edit_2,1,default,not_run,,,,,,,,
94,edit_2,2,personality_plus_same_rules,not_run,,,,,,,,
95,edit_2,2,default,not_run,,,,,,,,
96,edit_2,2,plain_english,not_run,,,,,,,,
97,edit_2,3,default,not_run,,,,,,,,
98,edit_2,3,plain_english,not_run,,,,,,,,
99,edit_2,3,personality_plus_same_rules,not_run,,,,,,,,
100,edit_3,1,personality_plus_same_rules,not_run,,,,,,,,
101,edit_3,1,default,not_run,,,,,,,,
102,edit_3,1,plain_english,not_run,,,,,,,,
103,edit_3,2,default,not_run,,,,,,,,
104,edit_3,2,plain_english,not_run,,,,,,,,
105,edit_3,2,personality_plus_same_rules,not_run,,,,,,,,
